userID,itemID,rating,timestamp
1,1,5,881250949
1,2,3,881251149
2,3,4,881251349
3,4,5,881251549
4,5,4,881251749
5,6,2,881251949
2,7,5,881252149
3,8,3,881252349
4,9,4,881252549
5,10,5,881252749
1,11,3,881252949
2,12,4,881253149
3,13,5,881253349
4,14,2,881253549
5,15,3,881253749
6,16,4,881253949
7,17,5,881254149
8,18,3,881254349
9,19,2,881254549
10,20,4,881254749
11,21,5,881254949
12,22,3,881255149
13,23,4,881255349
14,24,5,881255549
15,25,3,881255749
16,26,4,881255949
17,27,5,881256149
18,28,3,881256349
19,29,2,881256549
20,30,4,881256749
21,31,5,881256949
22,32,3,881257149
23,33,4,881257349
24,34,5,881257549
25,35,3,881257749
26,36,4,881257949
27,37,5,881258149
28,38,3,881258349
29,39,2,881258549
30,40,4,881258749
31,41,5,881258949
32,42,3,881259149
33,43,4,881259349
34,44,5,881259549
35,45,3,881259749
36,46,4,881259949
37,47,5,881260149
38,48,3,881260349
39,49,2,881260549
40,50,4,881260749
41,51,5,881260949
42,52,3,881261149
43,53,4,881261349
44,54,5,881261549
45,55,3,881261749
46,56,4,881261949
47,57,5,881262149
48,58,3,881262349
49,59,2,881262549
50,60,4,881262749
